input_text,target_text,label
"{'title': 'Static environmental conditions', 'description': 'A world permanently locked at a single time of day feels static and artificial. A day-night cycle solves this by introducing the constant, natural rhythm of time. This not only adds visual variety but allows designers to create time-dependent gameplay, such as tougher enemies at night or shops that only open in the morning, making the world feel more dynamic.\n'}","Day-Night Cycle - A Day-Night Cycle is a system that simulates the passage of time in the game world, typically with a continuously moving sun and moon, changing skyboxes, and dynamic global lighting. This cycle is often tied directly to gameplay systems, with different NPCs, enemies, quests, or resource availability being tied to a specific time of day.",1
"{'title': 'Static environmental conditions', 'description': 'A world permanently locked at a single time of day feels static and artificial. A day-night cycle solves this by introducing the constant, natural rhythm of time. This not only adds visual variety but allows designers to create time-dependent gameplay, such as tougher enemies at night or shops that only open in the morning, making the world feel more dynamic.\n'}","Modular Construction - Modular Construction is a ""snap-together"" building system that uses a limited set of pre-fabricated, interlocking pieces (like floors, walls, and ramps). These pieces are designed to connect to each other seamlessly, often on a grid system, allowing for rapid and intuitive building. This method contrasts with more granular, free-form systems like voxel-based construction.",0
"{'title': 'Static environmental conditions', 'description': 'A world permanently locked at a single time of day feels static and artificial. A day-night cycle solves this by introducing the constant, natural rhythm of time. This not only adds visual variety but allows designers to create time-dependent gameplay, such as tougher enemies at night or shops that only open in the morning, making the world feel more dynamic.\n'}","Skill Trees - A Skill Tree is a visual representation of a character's progression path, where skills and abilities are laid out in a branching, tree-like structure. Players spend points (often earned by leveling up) to unlock nodes on the tree. More powerful abilities are typically located further down a branch, requiring investment in prerequisite, lower-tier skills to reach them.",0
"{'title': 'Uniformly safe traversal', 'description': 'If the entire game world is safe to walk on, traversal becomes a simple act of holding forward with no engagement. Environmental hazards solve this. They turn the environment itself into an antagonist, forcing the player to be mindful of their surroundings and creating traversal puzzles where the path itself is a source of challenge.\n'}","Environmental Hazards - Environmental Hazards are elements of the game world that can inflict damage or a negative status effect on the player through proximity or contact. This can include natural hazards like pools of lava, deep water, or toxic gas vents, as well as man-made dangers like electrified floors, fields of radiation, or spinning blades.",1
"{'title': 'Uniformly safe traversal', 'description': 'If the entire game world is safe to walk on, traversal becomes a simple act of holding forward with no engagement. Environmental hazards solve this. They turn the environment itself into an antagonist, forcing the player to be mindful of their surroundings and creating traversal puzzles where the path itself is a source of challenge.\n'}","In-Game Chat - An In-Game Chat is a user interface that allows for real-time text-based communication between players in the same game session or channel. It typically includes different channels for various groups, such as local area ('say'), team, party or group, and private messages ('whispers'). It is a foundational feature of most multiplayer PC games.",0
"{'title': 'Uniformly safe traversal', 'description': 'If the entire game world is safe to walk on, traversal becomes a simple act of holding forward with no engagement. Environmental hazards solve this. They turn the environment itself into an antagonist, forcing the player to be mindful of their surroundings and creating traversal puzzles where the path itself is a source of challenge.\n'}","First-Person View - First-Person View is a camera perspective where the viewpoint is placed within the character's head, showing the game world from their eyes. The player character's body is typically not rendered, with the exception of their hands, arms, and any held items like weapons or tools. This perspective offers a direct, unfiltered view of the game world, prioritizing immersion and direct aiming.",0
"{'title': 'Static environmental conditions', 'description': 'A world with permanently clear skies feels artificial and lacks dynamism. A weather system solves this by introducing atmospheric variety. This not only enhances immersion and visual interest but can also be used by designers to directly influence gameplay, such as fog reducing visibility in a stealth section or rain making surfaces slippery.\n'}","Weather Systems - A Weather System is a feature that dynamically simulates changing atmospheric conditions, such as rain, snow, fog, thunderstorms, and wind. These systems can be purely for atmospheric effect, or they can have a direct and systemic impact on gameplay by affecting visibility, NPC behavior, traversal mechanics (e.g., slippery surfaces), or the effectiveness of certain elements like fire.",1
"{'title': 'Static environmental conditions', 'description': 'A world with permanently clear skies feels artificial and lacks dynamism. A weather system solves this by introducing atmospheric variety. This not only enhances immersion and visual interest but can also be used by designers to directly influence gameplay, such as fog reducing visibility in a stealth section or rain making surfaces slippery.\n'}","In-Game Currency - An In-Game Currency is a fungible, universally accepted medium of exchange within the game world (e.g., gold, credits, dollars). It acts as a standardized measure of value for goods and services, forming the backbone of any game economy. It is typically awarded to the player for completing activities and is spent on items, upgrades, and services provided by NPCs or other players.",0
"{'title': 'Static environmental conditions', 'description': 'A world with permanently clear skies feels artificial and lacks dynamism. A weather system solves this by introducing atmospheric variety. This not only enhances immersion and visual interest but can also be used by designers to directly influence gameplay, such as fog reducing visibility in a stealth section or rain making surfaces slippery.\n'}","Quick Time Combat - Quick Time Combat is the specific application of Quick Time Events (QTEs) within a combat encounter, often as a finishing move or a way to handle a large, unique enemy. Instead of using the standard combat controls, the player is prompted with a series of timed button presses to execute a pre-scripted, cinematic combat animation. Success usually results in defeating the enemy, while failure may deal damage or reset the sequence.",0
"{'title': 'Lifeless, scripted game worlds', 'description': ""It's a design challenge to make a game's wildlife feel authentic when every animal is just a mindless, wandering prop on a pre-set path. A dynamic ecosystem solves this by creating a web of interacting AI systems. This results in emergent, unscripted events that make the world feel like a living, breathing place that exists independently of the player's actions.\n""}","Dynamic Ecosystem - A Dynamic Ecosystem is a complex simulation where different forms of AI life (predators, prey, herbivores) and sometimes even flora interact with each other and the environment based on a set of systemic rules. These systems are designed to create unscripted, emergent behaviors, such as predators hunting prey, animals traveling in herds to specific water sources, or scavengers appearing at a fresh kill.",1
